first_name,second_name,season,element_type,cost_change_start,now_cost,form,ict_index,chance_of_playing_next_round,points_per_game,total_points,player_id,team_id,start_cost,position
David,Ospina,1617,1,-3,47,0.0,2.9,100,1.0,2,david_ospina,Arsenal,50,GK
Petr,Cech,1617,1,-1,54,0.0,82.0,100,3.8,134,petr_cech,Arsenal,55,GK
Laurent,Koscielny,1617,2,1,61,0.0,112.7,0,3.7,121,laurent_koscielny,Arsenal,60,DEF
Per,Mertesacker,1617,2,-2,48,0.0,1.8,100,1.0,1,per_mertesacker,Arsenal,50,DEF
Gabriel Armando,de Abreu,1617,2,-2,48,0.0,50.0,75,2.4,45,gabriel_armando_de_abreu,Arsenal,50,DEF
Héctor,Bellerín,1617,2,0,65,0.0,133.8,100,3.6,119,hector_bellerin,Arsenal,65,DEF
Kieran,Gibbs,1617,2,-3,47,0.0,43.1,75,4.1,45,kieran_gibbs,Arsenal,50,DEF
Mathieu,Debuchy,1617,2,-4,46,0.0,0.2,100,1.0,1,mathieu_debuchy,Arsenal,50,DEF
Carl,Jenkinson,1617,2,-2,48,0.0,2.1,100,2.0,2,carl_jenkinson,Arsenal,50,DEF
Nacho,Monreal,1617,2,-1,59,0.0,105.8,100,3.2,115,nacho_monreal,Arsenal,60,DEF
Calum,Chambers,1617,2,-2,43,0.0,88.0,100,3.3,83,calum_chambers,Middlesbrough,45,DEF
Alexis,Sánchez,1617,3,7,117,0.0,453.4,100,6.9,264,alexis_sanchez,Arsenal,110,MID
Theo,Walcott,1617,3,-3,72,0.0,184.1,100,4.4,122,theo_walcott,Arsenal,75,MID
Mesut,Özil,1617,3,0,95,0.0,322.0,100,5.1,167,mesut_ozil,Arsenal,95,MID
Santiago,Cazorla,1617,3,-5,70,0.0,50.8,75,4.8,38,santiago_cazorla,Arsenal,75,MID
Aaron,Ramsey,1617,3,-4,76,0.0,111.3,100,2.4,56,aaron_ramsey,Arsenal,80,MID
Jack,Wilshere,1617,3,-2,58,0.0,116.8,75,2.1,61,jack_wilshere,Bournemouth,60,MID
